question,choice_1,choice_2
swipe1_t_m_a,10_m_nonsmile_nike,14_m_nonsmile_tjs
swipe2_t_m_a,16_m_smile_none,3_m_smile_nike
swipe3_t_f_a,3_f_smile_none,8_f_nonsmile_tjs
swipe4_t_f_a,4_f_nonsmile_none,15_f_nonsmile_tjs
swipe5_t_f_a,9_f_smile_none,5_f_smile_nike
swipe6_t_m_a,17_m_smile_none,18_m_nonsmile_tjs
swipe7_t_f_a,7_f_smile_none,10_f_smile_tjs
swipe8_t_m_a,15_m_nonsmile_none,2_m_nonsmile_tjs
swipe9_t_m_a,1_m_smile_nike,5_m_nonsmile_none
swipe10_t_f_a,6_f_nonesmile_nike,12_f_nonsmile_tjs
swipe11_t_m_a,6_m_smile_nike,13_m_nonsmile_none
swipe12_t_f_a,2_f_nonsmile_none,1_f_smile_nike
swipe13_t_f_a,14_f_smile_nike,13_f_nonsmile_none
swipe14_t_m_a,19_m_smile_none,12_m_smile_tjs
swipe1_t_f_b,11_f_smile_nike,13_f_smile_tjs
swipe2_t_f_b,3_f_nonsmile_none,8_f_nonsmile_tjs
swipe3_t_f_b,5_f_smile_none,1_f_smile_tjs
swipe4_t_m_b,6_m_smile_none,18_m_smile_tjs
swipe5_t_m_b,4_m_smile_tjs,13_m_smile_nike
swipe6_t_f_b,2_f_nonsmile_nike,10_f_smile_tjs
swipe7_t_m_b,9_m_nonsmile_none,7_m_nonsmile_tjs
swipe8_t_m_b,11_m_nonsmile_nike,3_m_smile_tjs
swipe9_t_m_b,10_m_nonsmile_nike,1_m_smile_tjs
swipe10_t_f_b,14_f_nonsmile_nike,12_f_smile_tjs
swipe11_t_f_b,4_f_nonsmile_none,9_f_smile_nike
swipe12_t_f_b,7_f_smile_tjs,6_f_nonsmile_none
swipe13_t_m_b,14_m_nonsmile_none,16_m_smile_nike
swipe14_t_m_b,19_m_smile_tjs,2_m_nonsmile_none
swipe1_t_f_c,10_f_smile_nike,14_f_nonsmile_tjs
swipe2_t_m_c,16_m_smile_nike,6_m_nonsmile_nike
swipe3_t_f_c,6_f_smile_nike,7_f_nonsmile_nike
swipe4_t_f_c,11_f_nonsmile_none,13_f_smile_tjs
swipe5_t_f_c,15_f_nonsmile_tjs,2_f_nonsmile_none
swipe6_t_m_c,1_m_smile_none ,15_m_nonsmile_tjs
swipe7_t_f_c,12_f_smile_nike,9_f_smile_none
swipe8_t_m_c,12_m_nonsmile_nike,8_m_smile_tjs
swipe9_t_m_c,2_m_nonsmile_tjs,14_m_nonsmile_tjs
swipe10_t_f_c,8_f_nonsmile_nike,1_f_nonsmile_nike
swipe11_t_m_c,7_m_smile_nike,4_m_nonsmile_tjs
swipe12_t_m_c,9_m_smile_nike,11_m_nonsmile_tjs
swipe13_t_f_c,3_f_nonsmile_nike,5_f_nonsmile_tjs
swipe14_t_m_c,3_m_smile_nike,17_m_smile_nike
swipe1_t_m_d,16_m_nonsmile_nike,3_m_smile_tjs
swipe2_t_m_d,2_m_nonsmile_tjs,5_m_smile_nike
swipe3_t_f_d,5_f_nonsmile_tjs,7_f_smile_nike
swipe4_t_f_d,13_f_nonsmile_nike,12_f_smile_nike
swipe5_t_f_d,8_f_smile_tjs,10_f_smile_none
swipe6_t_f_d,6_f_smile_none,4_f_smile_tjs
swipe7_t_m_d,13_m_nonsmile_tjs,9_m_smile_nike
swipe8_t_m_d,4_m_smile_tjs,15_m_nonsmile_nike
swipe9_t_f_d,14_f_smile_nike,1_f_smile_none
swipe10_t_m_d,12_m_nonsmile_none,11_m_smile_tjs
swipe11_t_f_d,3_f_smile_none,15_f_smile_tjs
swipe12_t_f_d,9_f_smile_tjs,2_f_nonsmile_tjs
swipe13_t_m_d,6_m_nonsmile_none,1_m_smile_tjs
swipe14_t_m_d,7_m_smile_nike,10_m_nonsmile_none